,0
302,Average thermal transmittance 0.65 W/m²K
303,Average thermal transmittance 0.57 W/m²K
304,Average thermal transmittance 0.31 W/m²K
305,Average thermal transmittance 0.20 W/m?K|Trawsyriannedd thermol cyfartalog 0.20 W/m?K
306,Average thermal transmittance 0.04 W/m?K
307,Average thermal transmittance 0.02 W/m?K
308,Average thermal transmittance 1.21 W/m²K
309,Average thermal transmittance 0.37 W/m²K
310,Average thermal transmittance 0.64 W/m-¦K
311,Average thermal transmittance 1.23 W/m²K
312,Average thermal transmittance 0.12 W/mÂ²K
313,Average thermal transmittance 0.45 W/m-¦K
314,Average thermal transmittance 0.84 W/m-¦K
315,Average thermal transmittance 0.05 W/m²K
316,Average thermal transmittance 0.60 W/m-¦K
317,Average thermal transmittance 0.62 W/m?K
318,Average thermal transmittance 0.06 W/m-¦K
319,Average thermal transmittance 0.41 W/m?K
320,Average thermal transmittance = 0.33 W/m?K
321,Average thermal transmittance 0.19 W/m2K
322,Average thermal transmittance 1.11 W/m²K
323,Average thermal transmittance 0.70 W/mÂ²K
324,Average thermal transmittance 0.19 W/m??K
325,Average thermal transmittance 0.24 W/m2K
326,Average thermal transmittance = 0.36 W/m?K
327,Average thermal transmittance 0.19 W/mÂ²K
328,Average thermal transmittance 0.82 W/m²K
329,Average thermal transmittance 0.06 W/m²K
330,Average thermal transmittance 2.13 W/m²K
331,Average thermal transmittance 0.09 W/mÂ²K
332,Average thermal transmittance 0.55 W/m-¦K
333,Average thermal transmittance 0.37 W/m-¦K
334,Average thermal transmittance 0.35 W/m²K
335,Average thermal transmittance 0.45 W/mÂ²K
336,Average thermal transmittance 0.26 W/m-¦K
337,Average thermal transmittance 0.29 W/mÂ²K
338,Average thermal transmittance 0.66 W/mÂ²K
339,Average thermal transmittance 0.77 W/m²K
340,Average thermal transmittance 0.86 W/m²K
341,Average thermal transmittance 0.15 W/mÂ²K
342,Average thermal transmittance 0.67 W/m²K
343,Average thermal transmittance 0.11 W/mÂ²K
344,Average thermal transmittance = 0.06 W/m?K
345,Average thermal transmittance 0.23 W/mÂ²K
346,"To unheated space,  insulated (assumed)"
347,Average thermal transmittance 0.38 W/m&#0178;K
348,Average thermal transmittance 0.83 W/mÂ²K
349,Average thermal transmittance 1.34 W/m²K
350,Average thermal transmittance 0.18 W/m??K|Trawsyriannedd thermol cyfartalog 0.18 W/m??K
351,Average thermal transmittance 0.48 W/m²K
352,Average thermal transmittance 0.20 W/mÂ²K
353,"To unheated space,"
354,Average thermal transmittance 0.17 W/mÂ²K
355,Average thermal transmittance 0.42 W/mÂ²K
356,Average thermal transmittance 0.07 W/mÂ²K
